ELCODE,G_RANK,ELEMENT_SUBNATIONAL_ID,SNAME,SCOMNAME,S_RANK,EO_TRACK_STATUS_DESC
ABNNN08010,G4,6520.0,Ptychoramphus aleuticus,Cassin's Auklet,S2B,Track all extant and selected historical EOs
AFCFA10010,GNR,443816.0,Sardinops sagax,Pacific sardine,S1,Track all extant and selected historical EOs
ABNKD06074,G4T3Q,12968.0,Falco peregrinus tundrius,Arctic Peregrine Falcon,S3?N,Track all extant and selected historical EOs
ABNFC01021,G4T3T4,6329.0,Pelecanus occidentalis californicus,California Brown Pelican,S2N,Track all extant and selected historical EOs
AFCHA02054,G5T4Q,6815.0,Oncorhynchus tshawytscha pop. 25,"Chinook salmon (Southern Oregon/Northern California Coast ESU, spring run)",S4,Track all extant and selected historical EOs
AFCHA02092,G5T4,6840.0,Oncorhynchus mykiss gairdneri,Inland Columbia Basin redband trout,S2S3,Track all extant and selected historical EOs
AFC4A06390,GNR,436237.0,Sebastes miniatus,Vermillion rockfish,S3,Track all extant and selected historical EOs
AFCHA0205J,G5T3Q,6820.0,Oncorhynchus tshawytscha pop. 27,"Chinook salmon (Oregon Coast ESU, spring run)",S3,Track all extant and selected historical EOs
ABNLC12010,G3,6420.0,Centrocercus urophasianus,Greater Sage-Grouse,S2,Track all extant and selected historical EOs
ABPBY03010,G5,6760.0,Pinicola enucleator,Pine Grosbeak,S2?,Track all extant and selected historical EOs
AAABH01180,G2,6299.0,Rana pretiosa,Oregon spotted frog,S1S2,Track all extant and selected historical EOs
ABPBXA9010,G5,6742.0,Dolichonyx oryzivorus,Bobolink,S2B,Track all extant and selected historical EOs
ABNJB03043,G5T3,6349.0,Anser albifrons elgasi,Tule White-fronted Goose,S2S3N,Track all extant and selected historical EOs
AFCJB56020,G2G3,6911.0,Oregonichthys kalawatseti,Umpqua chub,S2S3,Track all extant and selected historical EOs
ABNUC51010,G5,6560.0,Selasphorus platycercus,Broad-tailed Hummingbird,S2?B,Track all extant and selected historical EOs
ABPBY02010,G4,6757.0,Leucosticte atrata,Black Rosy-Finch,S2B,Track all extant and selected historical EOs
AFCHA02023,G5T2Q,6803.0,Oncorhynchus keta pop. 3,Chum salmon (Columbia River ESU),S2,Track all extant and selected historical EOs
AFC4A06530,GNR,436242.0,Sebastes ruberrimus,Yelloweye rockfish,S2?,Track all extant and selected historical EOs
ABNNN12010,G5,6523.0,Fratercula cirrhata,Tufted Puffin,S1B,Track all extant and selected historical EOs
ABPBX95011,G5T2,6721.0,Pooecetes gramineus affinis,Oregon Vesper Sparrow,S1B,Track all extant and selected historical EOs
ABNME01010,G4,6428.0,Coturnicops noveboracensis,Yellow Rail,S2B,Track all extant and selected historical EOs
AMAFJ01010,G5,7074.0,Erethizon dorsatum,Common porcupine,S3S4,Track all extant and selected historical EOs
AFC4E02190,G4,6791.0,Cottus pitensis,Pit sculpin,S1,Track all extant and selected historical EOs
AFCHA02134,G5T2Q,6860.0,Oncorhynchus mykiss pop. 29,"Steelhead (Middle Columbia River ESU, winter run)",S2,Track all extant and selected historical EOs
AFC4E02240,G3,6794.0,Cottus tenuis,Slender sculpin,S3,Track all extant and selected historical EOs
ABNKC22010,G5,6404.0,Aquila chrysaetos,Golden Eagle,S3S4,Track all extant and selected historical EOs
ABNJB15010,G4,6377.0,Histrionicus histrionicus,Harlequin Duck,"S2B,S3N",Track all extant and selected historical EOs
AFCHA02032,G5T2Q,6807.0,Oncorhynchus kisutch pop. 2,Coho salmon (Southern Oregon/Northern California Coasts ESU),S2,Track all extant and selected historical EOs
AAAAD12100,G2G3,6277.0,Plethodon larselli,Larch Mountain salamander,S2?,Track all extant and selected historical EOs
AMAJF03010,G4,7117.0,Gulo gulo,Wolverine,S1,Track all extant and selected historical EOs
ABNJB05039,G5T3,6357.0,Branta canadensis occidentalis,Dusky Canada Goose,S3N,Track all extant and selected historical EOs
AMAJB01020,G4,7104.0,Ursus arctos,Grizzly bear,SX,Track all extant and selected historical EOs
ABNKD06071,G4T4,6408.0,Falco peregrinus anatum,American Peregrine Falcon,S3,Track all extant and selected historical EOs
AFCHA02133,G5T2Q,6859.0,Oncorhynchus mykiss pop. 28,"Steelhead (Middle Columbia River ESU, summer run)",S2,Track all extant and selected historical EOs
